,User Defined Identifier,Instrument Name,RIC,Trade Date,Trade Time,Expiration Date,Period,Term,Volatility Surface Term,Risk Free Interest Rate,Open Implied Volatility,Last Implied Volatility,High Implied Volatility,Close Implied Volatility,Strike Price,Option Premium,Premium,General Value6,General Value7,Precision,Previous Close Date,Previous Close Price,Last Update Time,Instrument Snap Time,Asset Type Description,Contributor Short Name,Exchange Description,Currency Code,Embargo Times,Maximum Embargo Delay,Real Time Permitted
210,,CME C 90% c1,1C90Nc1=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,90%,0.93,43.18,43.1,58.51,42.69,711.68,0.98,1.24,788.5,790.75,2DP,05/11/2022,42.69,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
211,,CME C 95% c1,1C95Nc1=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,95%,0.93,34.93,33.31,54.01,34.98,751.21,2.93,3.98,788.5,790.75,2DP,05/11/2022,34.98,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
212,,CME C 100% c1,1C100Nc1O=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,100%,0.93,29.66,31.07,51.07,31.05,790.75,14.51,15.33,788.5,790.75,2DP,05/11/2022,31.05,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
213,,CME C 105% c1,1C105Nc1=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,105%,0.93,32.98,37.27,50.37,34.16,830.29,4.62,4.28,788.5,790.75,2DP,05/11/2022,34.16,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
214,,CME C 110% c1,1C110Nc1=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,110%,0.93,40.12,44.43,51.96,40.11,869.83,1.79,1.48,788.5,790.75,2DP,05/11/2022,40.11,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
215,,CME C 115% c1,1C115Nc1=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,115%,0.93,47.0,50.84,55.16,46.02,909.36,0.79,0.62,788.5,790.75,2DP,05/11/2022,46.02,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
216,,CME C 120% c1,1C120Nc1=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,120%,0.93,53.06,56.48,61.56,51.36,948.9,0.37,0.29,788.5,790.75,2DP,05/11/2022,51.36,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
217,,CME C 125% c1,1C125Nc1=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,125%,0.93,58.42,61.48,67.32,56.15,988.44,0.19,0.14,788.5,790.75,2DP,05/11/2022,56.15,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
218,,CME C 130% c1,1C130Nc1=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,130%,0.93,63.19,65.96,72.51,60.46,"1,027.98",0.1,0.07,788.5,790.75,2DP,05/11/2022,60.46,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
219,,CME C 140% c1,1C140Nc1=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,140%,0.93,71.43,73.75,81.55,67.95,"1,107.05",0.03,0.02,788.5,790.75,2DP,05/11/2022,67.95,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
220,,CME C 150% c1,1C150Nc1=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,150%,0.93,78.36,80.36,89.23,74.31,"1,186.13",0.01,0.01,788.5,790.75,2DP,05/11/2022,74.31,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
221,,CME C 50% c2,1C50Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,50%,1.13,66.74,69.03,87.98,64.93,395.38,0.07,0.04,788.5,790.75,2DP,05/11/2022,64.93,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
222,,CME C 60% c2,1C60Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,60%,1.13,57.07,58.57,81.01,55.58,474.45,0.22,0.15,788.5,790.75,2DP,05/11/2022,55.58,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
223,,CME C 70% c2,1C70Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,70%,1.13,47.66,48.31,74.85,46.6,553.53,0.61,0.51,788.5,790.75,2DP,05/11/2022,46.6,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
224,,CME C 75% c2,1C75Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,75%,1.13,43.01,43.21,72.04,42.25,593.06,1.01,0.94,788.5,790.75,2DP,05/11/2022,42.25,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
225,,CME C 80% c2,1C80Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,80%,1.13,38.45,38.21,69.4,38.1,632.6,1.69,1.76,788.5,790.75,2DP,05/11/2022,38.1,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
226,,CME C 85% c2,1C85Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,85%,1.13,34.18,33.62,67.1,34.37,672.14,3.02,3.45,788.5,790.75,2DP,05/11/2022,34.37,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
227,,CME C 90% c2,1C90Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,90%,1.13,30.66,30.12,65.1,31.48,711.68,6.22,7.28,788.5,790.75,2DP,05/11/2022,31.48,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
228,,CME C 95% c2,1C95Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,95%,1.13,28.64,28.62,63.32,29.93,751.21,14.44,15.93,788.5,790.75,2DP,05/11/2022,29.93,05/12/2022 10:45:24,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
229,,CME C 100% c2,1C100Nc2O=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,100%,1.13,28.56,29.2,61.93,29.86,790.75,31.56,32.56,788.5,790.75,2DP,05/11/2022,29.86,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
230,,CME C 105% c2,1C105Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,105%,1.13,29.96,31.03,60.87,30.91,830.29,18.18,18.36,788.5,790.75,2DP,05/11/2022,30.91,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
231,,CME C 110% c2,1C110Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,110%,1.13,32.08,33.35,59.93,32.58,869.83,10.74,10.4,788.5,790.75,2DP,05/11/2022,32.58,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
232,,CME C 115% c2,1C115Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,115%,1.13,34.42,35.76,59.11,34.5,909.36,6.59,6.07,788.5,790.75,2DP,05/11/2022,34.5,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
233,,CME C 120% c2,1C120Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,120%,1.13,36.76,38.1,58.38,36.48,948.9,4.2,3.66,788.5,790.75,2DP,05/11/2022,36.48,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
234,,CME C 125% c2,1C125Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,125%,1.13,39.0,40.32,57.74,38.42,988.44,2.75,2.29,788.5,790.75,2DP,05/11/2022,38.42,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
235,,CME C 130% c2,1C130Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,130%,1.13,41.12,42.41,57.18,40.28,"1,027.98",1.86,1.47,788.5,790.75,2DP,05/11/2022,40.28,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
236,,CME C 140% c2,1C140Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,140%,1.13,44.98,46.2,56.23,43.73,"1,107.05",0.9,0.66,788.5,790.75,2DP,05/11/2022,43.73,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
237,,CME C 150% c2,1C150Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,150%,1.13,48.39,49.54,55.5,46.82,"1,186.13",0.47,0.32,788.5,790.75,2DP,05/11/2022,46.82,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
238,,CME C 50% c3,1C50Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,50%,1.3,54.54,56.54,56.71,54.7,377.5,0.11,0.08,752,755,2DP,05/11/2022,54.7,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
239,,CME C 60% c3,1C60Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,60%,1.3,47.91,49.29,49.43,48.09,453,0.4,0.35,752,755,2DP,05/11/2022,48.09,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
240,,CME C 70% c3,1C70Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,70%,1.3,41.6,42.36,42.71,41.8,528.5,1.27,1.22,752,755,2DP,05/11/2022,41.8,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
241,,CME C 75% c3,1C75Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,75%,1.3,38.59,39.06,39.56,38.79,566.25,2.2,2.2,752,755,2DP,05/11/2022,38.79,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
242,,CME C 80% c3,1C80Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,80%,1.3,35.89,36.17,36.77,36.07,604,3.94,4.0,752,755,2DP,05/11/2022,36.07,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
243,,CME C 85% c3,1C85Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,85%,1.3,34.33,34.52,34.88,34.39,641.75,7.72,7.77,752,755,2DP,05/11/2022,34.39,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
244,,CME C 90% c3,1C90Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,90%,1.3,34.53,34.61,34.79,34.47,679.5,15.83,15.86,752,755,2DP,05/11/2022,34.47,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
245,,CME C 95% c3,1C95Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,95%,1.3,35.47,35.54,35.68,35.38,717.25,29.48,29.47,752,755,2DP,05/11/2022,35.38,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
246,,CME C 100% c3,1C100Nc3O=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,100%,1.3,36.55,36.66,36.81,36.45,755,48.54,48.41,752,755,2DP,05/11/2022,36.45,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
247,,CME C 105% c3,1C105Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,105%,1.3,37.62,37.8,37.95,37.52,792.75,34.64,34.48,752,755,2DP,05/11/2022,37.52,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
248,,CME C 110% c3,1C110Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,110%,1.3,38.65,38.91,39.05,38.55,830.5,24.52,24.32,752,755,2DP,05/11/2022,38.55,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
249,,CME C 115% c3,1C115Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,115%,1.3,39.62,39.96,40.09,39.52,868.25,17.28,17.06,752,755,2DP,05/11/2022,39.52,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
250,,CME C 120% c3,1C120Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,120%,1.3,40.54,40.95,41.07,40.45,906,12.16,11.93,752,755,2DP,05/11/2022,40.45,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
251,,CME C 125% c3,1C125Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,125%,1.3,41.41,41.89,42.0,41.32,943.75,8.57,8.33,752,755,2DP,05/11/2022,41.32,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
252,,CME C 130% c3,1C130Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,130%,1.3,42.24,42.78,42.87,42.14,981.5,6.05,5.83,752,755,2DP,05/11/2022,42.14,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
253,,CME C 140% c3,1C140Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,140%,1.3,43.76,44.42,44.54,43.66,"1,057",3.05,2.88,752,755,2DP,05/11/2022,43.66,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
254,,CME C 150% c3,1C150Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,150%,1.3,45.13,45.91,46.05,45.04,"1,132.5",1.57,1.45,752,755,2DP,05/11/2022,45.04,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
255,,CME C 50% c4,1C50Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,50%,1.51,48.12,49.32,53.04,47.43,377.5,0.2,0.14,752,755,2DP,05/11/2022,47.43,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
256,,CME C 60% c4,1C60Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,60%,1.51,41.97,42.45,46.61,41.42,453,0.59,0.51,752,755,2DP,05/11/2022,41.42,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
257,,CME C 70% c4,1C70Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,70%,1.51,36.87,36.89,40.95,36.46,528.5,1.81,1.73,752,755,2DP,05/11/2022,36.46,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
258,,CME C 75% c4,1C75Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,75%,1.51,34.97,34.95,38.49,34.66,566.25,3.37,3.3,752,755,2DP,05/11/2022,34.66,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
259,,CME C 80% c4,1C80Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,80%,1.51,33.71,33.82,36.39,33.52,604,6.53,6.4,752,755,2DP,05/11/2022,33.52,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
260,,CME C 85% c4,1C85Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,85%,1.51,33.17,33.52,34.78,33.13,641.75,12.56,12.28,752,755,2DP,05/11/2022,33.13,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
261,,CME C 90% c4,1C90Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,90%,1.51,33.31,33.91,33.94,33.42,679.5,22.8,22.28,752,755,2DP,05/11/2022,33.42,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
262,,CME C 95% c4,1C95Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,95%,1.51,33.97,34.75,34.78,34.19,717.25,37.94,37.19,752,755,2DP,05/11/2022,34.19,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
263,,CME C 100% c4,1C100Nc4O=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,100%,1.51,34.94,35.84,35.89,35.24,755,57.88,56.95,752,755,2DP,05/11/2022,35.24,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
264,,CME C 105% c4,1C105Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,105%,1.51,36.07,37.06,37.11,36.43,792.75,44.33,43.43,752,755,2DP,05/11/2022,36.43,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
265,,CME C 110% c4,1C110Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,110%,1.51,37.28,38.3,38.37,37.66,830.5,34.09,33.24,752,755,2DP,05/11/2022,37.66,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
266,,CME C 115% c4,1C115Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,115%,1.51,38.5,39.55,39.62,38.89,868.25,26.37,25.61,752,755,2DP,05/11/2022,38.89,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
267,,CME C 120% c4,1C120Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,120%,1.51,39.7,40.76,40.83,40.09,906,20.55,19.87,752,755,2DP,05/11/2022,40.09,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
268,,CME C 125% c4,1C125Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,125%,1.51,40.87,41.93,42.0,41.24,943.75,16.15,15.55,752,755,2DP,05/11/2022,41.24,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
269,,CME C 130% c4,1C130Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,130%,1.51,41.99,43.05,43.31,42.36,981.5,12.79,12.26,752,755,2DP,05/11/2022,42.36,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
270,,CME C 140% c4,1C140Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,140%,1.51,44.1,45.15,46.67,44.44,"1,057",8.21,7.81,752,755,2DP,05/11/2022,44.44,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
271,,CME C 150% c4,1C150Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,150%,1.51,46.03,47.07,49.77,46.34,"1,132.5",5.42,5.12,752,755,2DP,05/11/2022,46.34,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
272,,CME C 50% c5,1C50Nc5=R,05/11/2022,22:52,11/25/2022,DEC2,DEC2,50%,1.93,36.54,38.55,39.22,36.66,370,0.35,0.23,735.75,740,2DP,05/11/2022,36.66,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
273,,CME C 60% c5,1C60Nc5=R,05/11/2022,22:52,11/25/2022,DEC2,DEC2,60%,1.93,32.75,33.61,36.14,32.87,444,0.99,0.86,735.75,740,2DP,05/11/2022,32.87,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
274,,CME C 70% c5,1C70Nc5=R,05/11/2022,22:52,11/25/2022,DEC2,DEC2,70%,1.93,29.55,29.83,34.41,29.66,518,2.92,2.86,735.75,740,2DP,05/11/2022,29.66,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
275,,CME C 75% c5,1C75Nc5=R,05/11/2022,22:52,11/25/2022,DEC2,DEC2,75%,1.93,28.48,28.88,33.89,28.55,555,5.43,5.21,735.75,740,2DP,05/11/2022,28.55,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
276,,CME C 80% c5,1C80Nc5=R,05/11/2022,22:52,11/25/2022,DEC2,DEC2,80%,1.93,28.17,28.76,33.59,28.16,592,10.34,9.71,735.75,740,2DP,05/11/2022,28.16,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
277,,CME C 85% c5,1C85Nc5=R,05/11/2022,22:52,11/25/2022,DEC2,DEC2,85%,1.93,28.67,29.27,33.49,28.59,629,18.83,17.84,735.75,740,2DP,05/11/2022,28.59,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
278,,CME C 90% c5,1C90Nc5=R,05/11/2022,22:52,11/25/2022,DEC2,DEC2,90%,1.93,29.59,30.1,33.54,29.48,666,31.49,30.33,735.75,740,2DP,05/11/2022,29.48,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
279,,CME C 95% c5,1C95Nc5=R,05/11/2022,22:52,11/25/2022,DEC2,DEC2,95%,1.93,30.63,31.06,33.73,30.52,703,48.28,47.05,735.75,740,2DP,05/11/2022,30.52,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
280,,CME C 100% c5,1C100Nc5O=R,05/11/2022,22:52,11/25/2022,DEC2,DEC2,100%,1.93,31.67,32.05,34.03,31.56,740,68.77,67.5,735.75,740,2DP,05/11/2022,31.56,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
281,,CME C 105% c5,1C105Nc5=R,05/11/2022,22:52,11/25/2022,DEC2,DEC2,105%,1.93,32.68,33.02,34.41,32.56,777,55.72,54.6,735.75,740,2DP,05/11/2022,32.56,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
282,,CME C 110% c5,1C110Nc5=R,05/11/2022,22:52,11/25/2022,DEC2,DEC2,110%,1.93,33.63,33.95,34.86,33.51,814,45.26,44.27,735.75,740,2DP,05/11/2022,33.51,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
283,,CME C 115% c5,1C115Nc5=R,05/11/2022,22:52,11/25/2022,DEC2,DEC2,115%,1.93,34.53,34.84,35.35,34.41,851,36.9,36.02,735.75,740,2DP,05/11/2022,34.41,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
284,,CME C 120% c5,1C120Nc5=R,05/11/2022,22:52,11/25/2022,DEC2,DEC2,120%,1.93,35.38,35.69,35.87,35.26,888,30.21,29.42,735.75,740,2DP,05/11/2022,35.26,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
285,,CME C 125% c5,1C125Nc5=R,05/11/2022,22:52,11/25/2022,DEC2,DEC2,125%,1.93,36.18,36.5,36.55,36.07,925,24.84,24.14,735.75,740,2DP,05/11/2022,36.07,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
286,,CME C 130% c5,1C130Nc5=R,05/11/2022,22:52,11/25/2022,DEC2,DEC2,130%,1.93,36.94,37.26,37.31,36.83,962,20.53,19.89,735.75,740,2DP,05/11/2022,36.83,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
