,User Defined Identifier,Instrument Name,RIC,Trade Date,Trade Time,Expiration Date,Period,Term,Volatility Surface Term,Risk Free Interest Rate,Open Implied Volatility,Last Implied Volatility,High Implied Volatility,Close Implied Volatility,Strike Price,Option Premium,Premium,General Value6,General Value7,Precision,Previous Close Date,Previous Close Price,Last Update Time,Instrument Snap Time,Asset Type Description,Contributor Short Name,Exchange Description,Currency Code,Embargo Times,Maximum Embargo Delay,Real Time Permitted
38,,CME BO 80% c3,1BO80Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,80%,1.3,33.69,33.38,35.91,33.72,63.3,0.29,0.32,79.73,79.13,2DP,05/11/2022,33.72,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
39,,CME BO 85% c3,1BO85Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,85%,1.3,32.68,32.33,33.73,32.7,67.26,0.66,0.7,79.73,79.13,2DP,05/11/2022,32.7,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
40,,CME BO 90% c3,1BO90Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,90%,1.3,32.46,32.17,33.14,32.45,71.22,1.41,1.47,79.73,79.13,2DP,05/11/2022,32.45,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
41,,CME BO 95% c3,1BO95Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,95%,1.3,32.81,32.58,33.11,32.77,75.17,2.71,2.79,79.73,79.13,2DP,05/11/2022,32.77,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
42,,CME BO 100% c3,1BO100Nc3O=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,100%,1.3,33.41,33.23,33.49,33.37,79.13,4.61,4.7,79.73,79.13,2DP,05/11/2022,33.37,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
43,,CME BO 105% c3,1BO105Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,105%,1.3,34.11,33.97,34.22,34.07,83.09,3.11,3.18,79.73,79.13,2DP,05/11/2022,34.07,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
44,,CME BO 110% c3,1BO110Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,110%,1.3,34.82,34.72,34.98,34.81,87.04,2.06,2.11,79.73,79.13,2DP,05/11/2022,34.81,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
45,,CME BO 115% c3,1BO115Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,115%,1.3,35.53,35.45,35.75,35.54,91,1.34,1.39,79.73,79.13,2DP,05/11/2022,35.54,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
46,,CME BO 120% c3,1BO120Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,120%,1.3,36.23,36.16,36.48,36.25,94.96,0.87,0.9,79.73,79.13,2DP,05/11/2022,36.25,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
47,,CME BO 125% c3,1BO125Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,125%,1.3,36.89,36.84,37.18,36.93,98.91,0.56,0.58,79.73,79.13,2DP,05/11/2022,36.93,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
